AppId,Title,Target_Users
com.mystrength.cross.MyStrength,myStrength by Teladoc Health,1 Patients / Health-conscious Individuals
com.lowestmed.android,RxSaver  Prescription Coupons,1 Patients / Health-conscious Individuals
femia.menstruationtracker.fertilityapp,Ovulation & Period Tracker,1 Patients / Health-conscious Individuals
com.ydo.smartapp,Your Doctors - Online Doctor,1 Patients / Health-conscious Individuals
com.picmonic.androidapp.medicine,Picmonic Medical School Study,2 Healthcare Professionals / Medical Students
com.RealityPlus.DoctorWhoWorldsApart,Doctor Who: Worlds Apart,3 Other / Unclear Audience
com.aaptiv.android,Aaptiv: Fitness for Everyone,1 Patients / Health-conscious Individuals
tech.chitwansoft.emergencyinformation,ICE - In case of Emergency,1 Patients / Health-conscious Individuals
com.stdi,Sexual Disease and Infections,1 Patients / Health-conscious Individuals
com.villagemd.patx,Village Medical,1 Patients / Health-conscious Individuals
com.medpresso.Lonestar.cmdt,CURRENT Med Diag & Treatment,2 Healthcare Professionals / Medical Students
net.nutrilio,Nutrilio: Food Tracker & Water,1 Patients / Health-conscious Individuals
com.remind.drink.water.hourly,Water Reminder - Remind Drink ,1 Patients / Health-conscious Individuals
xyz.slingshot.ashley.app,Ash - AI Therapy,1 Patients / Health-conscious Individuals
com.nike.ntc,Nike Training Club: Fitness,1 Patients / Health-conscious Individuals
com.healthe.app,Health-e ABHA PHR Health Lockr,1 Patients / Health-conscious Individuals
com.medpresso.Lonestar.pktanatomy,Pocket Anatomy and Physiology,2 Healthcare Professionals / Medical Students
com.graphicvizion.visualAnatomy3D,Visual Anatomy 3D - Human body,1 Patients / Health-conscious Individuals
com.educaPix.Anatomix,Human Anatomy - Body parts,3 Other / Unclear Audience
com.psvn.okulistHippo,Hippo Eye Doctor: Medical game,3 Other / Unclear Audience
com.vgfit.waterbalance,Water Reminder - Daily Tracker,1 Patients / Health-conscious Individuals
com.catfishanimationstudio.MuscularSystemLite,Anatomy 3D Atlas,2 Healthcare Professionals / Medical Students
com.meruhealth.app,Meru Health,1 Patients / Health-conscious Individuals
com.a3d4medical.completeanatomy,Complete Anatomy,2 Healthcare Professionals / Medical Students
com.promotionsoftware.emergencymobile,EMERGENCY,3 Other / Unclear Audience
com.chronicinsights,Chronic Insights symptom diary,1 Patients / Health-conscious Individuals
com.bizit.doctor.appointment,Ibn Sina Doctor Appointment,1 Patients / Health-conscious Individuals
diary.questions.mood.tracker,Mood Tracker Daily Journal CBT,1 Patients / Health-conscious Individuals
com.visual3dscience.heartpro,Heart Anatomy Pro.,2 Healthcare Professionals / Medical Students
com.guavahealth.app,Guava: Health Tracker,1 Patients / Health-conscious Individuals
com.visual3dscience.humananatomy,Human Anatomy,2 Healthcare Professionals / Medical Students
com.period.tracker.lite,Period Tracker,1 Patients / Health-conscious Individuals
sleeptrakcer.sleeprecorder.sleepapp.sleep,Sleep Tracker - Sleep Recorder,1 Patients / Health-conscious Individuals
com.cleantec.pharmacology,Pharma Drug Classification,2 Healthcare Professionals / Medical Students
com.uhs.mymedicalrecord.iphr,My medical record,1 Patients / Health-conscious Individuals
com.affecttherapeutics,Affect: Addiction Recovery,1 Patients / Health-conscious Individuals
com.periodtracker.periodcalendar.ovulation.periodcycle,Period Tracker Ovulation Cycle,1 Patients / Health-conscious Individuals
com.aidareminder.pillreminder,Pill Reminder and Med Tracker,1 Patients / Health-conscious Individuals
com.crazy.doctor.hospital,Hospital Rush: Doctor ASMR,3 Other / Unclear Audience
com.ifeel.ifeeluserchat,"Online therapy, emotional help",1 Patients / Health-conscious Individuals
xyz.rtrvr.pillo,Angry Pill Reminder & Tracker,1 Patients / Health-conscious Individuals
com.n_prep.medieducation,NPrep Nursing Classes,2 Healthcare Professionals / Medical Students
com.apirox.sleeprecorder,Sleep Tracker & Sleep Recorder,1 Patients / Health-conscious Individuals
com.gymstreak.GymStreakAI,Workout Tracker : GymStreak AI,3 Other / Unclear Audience
com.innocirc.vcpatient,MyHealthcare Patient Ecosystem,1 Patients / Health-conscious Individuals
com.mapmywalk.android2,Map My Walk: Walking Tracker,1 Patients / Health-conscious Individuals
com.sanaedutech.pharma,Pharmacology Quiz,2 Healthcare Professionals / Medical Students
com.practo.fabric,Practo: Doctor Appointment App,1 Patients / Health-conscious Individuals
com.hssn.anatomyfree,Visual Anatomy Lite,2 Healthcare Professionals / Medical Students
com.stamurai.stamurai,Stamurai: Stuttering Therapy,1 Patients / Health-conscious Individuals
com.glow.android.nurture,Pregnancy Tracker App | Glow,1 Patients / Health-conscious Individuals
com.QuickMD.md,QuickMD - Online Healthcare,1 Patients / Health-conscious Individuals
com.alphaprogression.alphaprogression,Alpha Progression Gym Tracker,1 Patients / Health-conscious Individuals
com.webmd.ways,Wellness At Your Side,1 Patients / Health-conscious Individuals
premom.eh.com.ehpremomapp,Ovulation Tracker App - Premom,1 Patients / Health-conscious Individuals
com.Tarter.DoctorTrivia,Doctor Trivia - Quiz Medicina,2 Healthcare Professionals / Medical Students
com.hippo.doctor.surgeon,Doctor surgeon. Hospital,3 Other / Unclear Audience
com.gktalk.nursing_examination_app,Nursing Exam,2 Healthcare Professionals / Medical Students
com.kompanion.habit.android,Dear Me: Daily Routine Tracker,1 Patients / Health-conscious Individuals
com.todoist,Todoist: Planner & Calendar,3 Other / Unclear Audience
com.despdev.quitzilla,Quitzilla: Quit Habit Tracker,1 Patients / Health-conscious Individuals
br.com.tapps.medicinedash,Medicine Dash: Hospital Game,3 Other / Unclear Audience
com.innowise.pathology3d,VOKA 3D Anatomy & Pathology,2 Healthcare Professionals / Medical Students
com.fitifyworkouts.bodyweight.workoutapp,"Fitify: Fitness, Home Workout",1 Patients / Health-conscious Individuals
com.forcetherapeutics.android,Force Patient,1 Patients / Health-conscious Individuals
com.unbound.android.cqhm,Harrison's Manual of Medicine,2 Healthcare Professionals / Medical Students
running.tracker.gps.map,Running App - GPS Run Tracker,1 Patients / Health-conscious Individuals
com.nourishly,Nourishly - Nutrition and Diet,1 Patients / Health-conscious Individuals
com.betterweightapp,"Weight Tracker, BMI Calculator",1 Patients / Health-conscious Individuals
com.biodigitalhuman.humanAndroid,BioDigital Human - 3D Anatomy,2 Healthcare Professionals / Medical Students
com.mattressfirm.sleepapp,Sleep.com: Sleep Cycle Tracker,1 Patients / Health-conscious Individuals
com.getmental.mental,Mental: AI Therapy,1 Patients / Health-conscious Individuals
com.amboss.medical.qbank,AMBOSS Qbank for Medical Exams,2 Healthcare Professionals / Medical Students
